reaction,q_value_mev,kind,note
r_n13_wk_c13,1.198472,decay,
r_o14_wk_n14,4.121941,decay,
r_o15_wk_n15,1.732169,decay,
r_f17_wk_o17,1.738516,decay,
r_f18_wk_o18,0.633225,decay,
r_ne18_wk_f18,3.421467,decay,
r_ne19_wk_f19,2.216828,decay,
r_c12_pg_n13,1.943490,capture,
r_n13_pg_o14,4.627096,capture,
r_n14_pg_o15,7.296783,capture,
r_o16_pg_f17,0.600268,capture,
r_o14_ap_f17,1.191600,capture,
r_o17_pg_f18,5.606457,capture,
r_n14_ag_f18,4.414632,capture,
r_o15_ap_f18,-2.882151,capture,endothermic per this mass table -- verify against ETR25/a reaction database before trusting
r_f17_pg_ne18,3.923506,capture,
r_o15_ag_ne19,3.529081,capture,
r_f18_pg_ne19,6.411232,capture,
